chair_gender,speaker_gender,n,interjection_rate,avg_interjections
female,female,7897,0.1479042674433329,0.29846777257186274
female,male,19661,0.20965362901174914,0.5299323533899598
male,female,50264,0.13240092312589527,0.27870841954480347
male,male,149791,0.21495283428243353,0.5130348285277486
