speaker_party,female,male,gap_pp
LNP,0.08705357142857142,0.11094316807738815,2.388959664881672
ALP,0.15840309079201545,0.19726881401217158,3.8865723220156134
NATS,0.16584158415841585,0.2052325581395349,3.939097398111904
NP,0.2345679012345679,0.3164324984728161,8.186459723824823
LP,0.12593596695068424,0.23941239907895887,11.347643212827464
Nats,0.042,0.1715606307775965,12.95606307775965
IND,0.06153846153846154,0.21195916383082158,15.042070229236003
