policy_topic,policy_topic_label,slope_pp_per_year,gap_min,gap_max
climate_environment,Climate/Environment,0.10563842852877207,-17.459044564096686,16.230979321108077
economy,Economy,-0.14675157908458675,2.637195121951219,18.05643367287203
education,Education,-0.2365187190539644,-12.566481137909708,23.4075271059216
foreign_policy,Foreign Policy,-0.10177864656593695,-12.231744202794182,17.355679702048416
health,Health,0.10034939011470045,-2.8234444430843055,11.939611582358161
security_defense,Security/Defense,0.005204162247819755,-8.99032843539445,12.184933246775241
