party,n_turns,n_heckles,heckle_rate_per_100_turns
ALP,216395,50452,23.31477159823471
LIBERAL,190268,31657,16.638110454727016
NATIONAL,40056,4223,10.542740163770722
IND,7788,1144,14.689265536723164
KAP,1496,374,25.0
GREENS,2016,220,10.912698412698413
CLP,1017,103,10.127826941986234
CA,1058,30,2.835538752362949
NXT,185,13,7.027027027027027
CDP,83,7,8.433734939759036
NATS WA,94,5,5.319148936170213
PUP,84,4,4.761904761904762
PHON,38,2,5.2631578947368425
