uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Robb1951,"Robb, Andrew",LIBERAL,974,173,2004,2016,17.761806981519506
Bandt1972,"Bandt, Adam",GREENS,1433,172,2010,2022,12.002791346824843
Neumann1961,"Neumann, Shayne",ALP,1440,166,2008,2022,11.527777777777779
Porter1970,"Porter, Christian",LIBERAL,1505,165,2013,2022,10.96345514950166
Wilkie1961,"Wilkie, Andrew",IND,838,165,2010,2022,19.689737470167064
Macfarlane1955,"Macfarlane, Ian",LIBERAL,1437,164,1998,2016,11.412665274878218
OKeefe1947,"O'Keefe, Neil",ALP,323,163,1998,2001,50.46439628482972
Kelly1963,"Kelly, Craig",LIBERAL,1325,160,2010,2020,12.075471698113208
Pasin1977,"Pasin, Tony",LIBERAL,767,159,2013,2022,20.73011734028683
Cox1954,"Cox, David",ALP,604,158,1998,2004,26.158940397350992
Entsch1950,"Entsch, Warren",LIBERAL,856,157,1998,2018,18.3411214953271
MitchellBrian1967,"Mitchell, Brian",ALP,590,157,2016,2022,26.610169491525422
Butler1970,"Butler, Mark",ALP,835,153,2008,2022,18.323353293413174
Hawke1977,"Hawke, Alex",LIBERAL,1017,151,2008,2022,14.847590953785645
Chesters1980,"Chesters, Lisa",ALP,953,151,2013,2022,15.84470094438615
Watts1982,"Watts, Tim",ALP,726,151,2013,2022,20.798898071625345
Thistlethwaite1972,"Thistlethwaite, Matt",ALP,959,151,2013,2022,15.745568300312826
Scott1943,"Scott, Bruce",NATIONAL,1148,148,1998,2016,12.89198606271777
Falinski1970,"Falinski, Jason",LIBERAL,789,145,2016,2022,18.377693282636248
vanManen1965,"van Manen, Bert",LIBERAL,687,144,2010,2018,20.96069868995633
Wilson1980,"Wilson, Tim",LIBERAL,963,143,2016,2022,14.849428868120457
George1947,"George, Jennie",ALP,620,142,2002,2010,22.903225806451612
ONeil1980,"O'Neil, Clare",ALP,495,139,2013,2022,28.08080808080808
Anthony1961,"Anthony, Larry (Lawrence)",NATIONAL,1219,139,1998,2004,11.40278917145201
Haase1945,"Haase, Barry",LIBERAL,650,137,1998,2013,21.076923076923077
Anderson1956,"Anderson, John",NATIONAL,2921,133,1998,2007,4.553235193426908
Nairn1951,"Nairn, Gary",LIBERAL,695,133,1998,2007,19.136690647482013
Sukkar1981,"Sukkar, Michael",LIBERAL,850,132,2013,2022,15.529411764705882
Simpkins1964,"Simpkins, Luke",LIBERAL,808,131,2008,2016,16.212871287128714
Lindsay1944,"Lindsay, Peter",LIBERAL,1141,131,1998,2010,11.481156879929886
Tehan1968,"Tehan, Dan",LIBERAL,1112,130,2010,2022,11.690647482014388
Lloyd1954,"Lloyd, Jim",LIBERAL,683,127,1998,2007,18.594436310395317
Thompson1960,"Thompson, Cameron",LIBERAL,569,126,1998,2007,22.144112478031634
Marles1967,"Marles, Richard",ALP,842,122,2008,2022,14.489311163895486
Secker1956,"Secker, Patrick",LIBERAL,602,122,1998,2013,20.26578073089701
Garrett1953,"Garrett, Peter",ALP,1109,120,2004,2013,10.820559062218214
