policy_topic,policy_topic_label,female,male,topic_n,gap_pp_male_minus_female
education,Education,0.12856980316304473,0.17341153470185727,24134,4.484173153881255
health,Health,0.11565001380071764,0.16821994408201305,30183,5.25699302812954
foreign_policy,Foreign Policy,0.13216374269005848,0.18998695368558383,7842,5.782321099552535
climate_environment,Climate/Environment,0.15619495008807985,0.21879600216936546,18016,6.260105208128561
security_defense,Security/Defense,0.10654008438818566,0.17115689381933438,19567,6.461680943114873
economy,Economy,0.162047823421214,0.28277736680028215,74437,12.072954337906816
