uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Ferguson1952,"Ferguson, Laurie",ALP,1446,226,1998,2016,15.629322268326417
Ryan1961,"Ryan, Joanne",ALP,1242,222,2013,2025,17.8743961352657
Cadman1937,"Cadman, Alan",LIBERAL,811,221,1998,2007,27.25030826140567
Murphy1950,"Murphy, John",ALP,3191,220,1998,2013,6.894390473205892
MitchellBrian1967,"Mitchell, Brian",ALP,866,216,2016,2025,24.942263279445726
Griffin1960,"Griffin, Alan",ALP,897,215,1998,2016,23.968784838350057
Joyce1967,"Joyce, Barnaby",NATIONAL,1825,215,2013,2025,11.780821917808218
Andrews1955,"Andrews, Kevin",LIBERAL,2611,214,1998,2022,8.19609345078514
Wilkie1959,"Wilkie, Kim",ALP,575,212,1998,2007,36.869565217391305
Neville1940,"Neville, Paul",NATIONAL,1370,206,1998,2013,15.036496350364963
Mirabella1968,"Mirabella, Sophie",LIBERAL,566,206,2006,2013,36.39575971731449
Kelly1960,"Kelly, Mike",ALP,608,200,2008,2020,32.89473684210526
Edwards1946,"Edwards, Graham",ALP,553,199,1998,2007,35.98553345388788
Ellis1977,"Ellis, Kate",ALP,780,198,2004,2019,25.384615384615383
Wilkie1961,"Wilkie, Andrew",IND,1047,198,2010,2025,18.911174785100286
Windsor1950,"Windsor, Tony",IND,1009,198,2002,2013,19.62338949454906
Tudge1971,"Tudge, Alan",LIBERAL,968,194,2010,2023,20.041322314049587
Christensen1978,"Christensen, George",NATIONAL,1012,193,2010,2022,19.07114624505929
Bailey1946,"Bailey, Fran",LIBERAL,608,189,1998,2010,31.085526315789473
Bandt1972,"Bandt, Adam",GREENS,1741,189,2010,2025,10.855829982768524
ONeil1980,"O'Neil, Clare",ALP,808,187,2013,2025,23.143564356435643
Henderson1964,"Henderson, Sarah",LIBERAL,753,187,2013,2019,24.833997343957503
Sawford1944,"Sawford, Rod",ALP,438,187,1998,2007,42.694063926940636
Hawke1977,"Hawke, Alex",LIBERAL,1135,186,2008,2025,16.387665198237887
Neumann1961,"Neumann, Shayne",ALP,1704,183,2008,2025,10.73943661971831
Wallace1968,"Wallace, Andrew",LIBERAL,1179,182,2016,2025,15.436810856658186
Collins1971,"Collins, Julie",ALP,1096,181,2008,2025,16.514598540145986
Burke1966,"Burke, Anna",ALP,1040,180,1998,2016,17.307692307692307
OBrien1974,"O'Brien, Ted",LIBERAL,834,177,2016,2025,21.223021582733814
Watts1982,"Watts, Tim",ALP,811,175,2013,2025,21.57829839704069
OKeefe1947,"O'Keefe, Neil",ALP,332,172,1998,2001,51.80722891566265
Robb1951,"Robb, Andrew",LIBERAL,974,170,2004,2016,17.453798767967147
Entsch1950,"Entsch, Warren",LIBERAL,1086,170,1998,2025,15.65377532228361
Porter1970,"Porter, Christian",LIBERAL,1505,165,2013,2022,10.96345514950166
Thistlethwaite1972,"Thistlethwaite, Matt",ALP,1099,164,2013,2025,14.922656960873521
Kelly1963,"Kelly, Craig",LIBERAL,1428,162,2010,2022,11.344537815126051
Cox1954,"Cox, David",ALP,605,159,1998,2004,26.28099173553719
Macfarlane1955,"Macfarlane, Ian",LIBERAL,1437,158,1998,2016,10.995128740431454
Chesters1980,"Chesters, Lisa",ALP,1183,156,2013,2025,13.186813186813186
McClelland1958,"McClelland, Robert",ALP,2355,151,1998,2013,6.411889596602973
Butler1970,"Butler, Mark",ALP,1178,151,2008,2025,12.818336162988116
Hogan1963,"Hogan, Kevin",NATIONAL,990,151,2013,2025,15.252525252525253
Wilson1980,"Wilson, Tim",LIBERAL,990,149,2016,2025,15.05050505050505
Falinski1970,"Falinski, Jason",LIBERAL,789,145,2016,2022,18.377693282636248
Scott1943,"Scott, Bruce",NATIONAL,1149,144,1998,2016,12.532637075718016
Giles1973,"Giles, Andrew",ALP,1119,143,2013,2025,12.779267202859696
George1947,"George, Jennie",ALP,620,142,2002,2010,22.903225806451612
Gosling1971,"Gosling, Luke",ALP,1030,137,2016,2025,13.300970873786408
Anthony1961,"Anthony, Larry (Lawrence)",NATIONAL,1219,137,1998,2004,11.238720262510254
Haase1945,"Haase, Barry",LIBERAL,650,136,1998,2013,20.923076923076923
Simpkins1964,"Simpkins, Luke",LIBERAL,808,131,2008,2016,16.212871287128714
Lindsay1944,"Lindsay, Peter",LIBERAL,1141,130,1998,2010,11.393514460999123
Marles1967,"Marles, Richard",ALP,1117,130,2008,2025,11.638316920322293
Nairn1951,"Nairn, Gary",LIBERAL,695,127,1998,2007,18.27338129496403
Anderson1956,"Anderson, John",NATIONAL,2923,127,1998,2007,4.344851180294218
Wilson1966,"Wilson, Rick",LIBERAL,706,125,2013,2025,17.705382436260624
Thompson1960,"Thompson, Cameron",LIBERAL,569,125,1998,2007,21.968365553602812
Lloyd1954,"Lloyd, Jim",LIBERAL,685,123,1998,2007,17.956204379562045
Burney1957,"Burney, Linda",ALP,588,120,2016,2025,20.408163265306122
Secker1956,"Secker, Patrick",LIBERAL,602,120,1998,2013,19.93355481727575
Schultz1939,"Schultz, Alby",LIBERAL,476,113,1998,2013,23.73949579831933
Freelander1953,"Freelander, Mike",ALP,671,113,2016,2025,16.84053651266766
Hoare1963,"Hoare, Kelly",ALP,509,113,1998,2007,22.20039292730845
Brereton1946,"Brereton, Laurie",ALP,255,112,1998,2004,43.92156862745098
Claydon1964,"Claydon, Sharon",ALP,1012,112,2013,2025,11.067193675889328
Forrest1949,"Forrest, John (Alexander)",NATIONAL,465,111,1998,2013,23.870967741935484
Aly1967,"Aly, Anne",ALP,584,111,2016,2025,19.006849315068493
Sercombe1949,"Sercombe, Bob",ALP,327,110,1998,2007,33.63914373088685
Rowland1971,"Rowland, Michelle",ALP,972,110,2010,2025,11.316872427983538
Pearce1963,"Pearce, Chris",LIBERAL,496,109,2001,2010,21.975806451612904
King1973,"King, Madeleine",ALP,575,109,2016,2025,18.956521739130434
Garrett1953,"Garrett, Peter",ALP,1109,106,2004,2013,9.558160504959423
Hatton1951,"Hatton, Michael",ALP,634,105,1998,2007,16.561514195583594
Marino1954,"Marino, Nola",LIBERAL,1171,104,2008,2025,8.88129803586678
Williams1942,"Williams, Daryl",LIBERAL,1264,104,1998,2004,8.227848101265822
Hamilton1979,"Hamilton, Garth",LIBERAL,363,104,2021,2025,28.650137741046834
Keogh1981,"Keogh, Matt",ALP,762,104,2016,2025,13.648293963254593
McArthur1937,"McArthur, Stewart",LIBERAL,538,104,1998,2007,19.33085501858736
Evans1944,"Evans, Gareth",ALP,229,103,1998,1999,44.97816593886463
Andrews1960,"Andrews, Karen",LIBERAL,866,102,2010,2025,11.778290993071593
Sciacca1947,"Sciacca, Con",ALP,314,102,1998,2004,32.48407643312102
Wood1968,"Wood, Jason",LIBERAL,727,99,2004,2025,13.617606602475929
OByrne1968,"O'Byrne, Michelle",ALP,454,99,1998,2004,21.80616740088106
Bradbury1976,"Bradbury, David",ALP,849,99,2008,2013,11.66077738515901
Ronaldson1954,"Ronaldson, Michael",LIBERAL,266,99,1998,2001,37.21804511278196
Gash1944,"Gash, Joanna",LIBERAL,710,98,1998,2013,13.80281690140845
Bird1962,"Bird, Sharon",ALP,856,98,2004,2022,11.448598130841122
Broadbent1950,"Broadbent, Russell",LIBERAL,1045,96,1998,2025,9.186602870813397
Kearney1963,"Kearney, Ged",ALP,470,94,2018,2025,20.0
ODwyer1977,"O'Dwyer, Kelly",LIBERAL,960,94,2010,2019,9.791666666666666
Husar1980,"Husar, Emma",ALP,337,93,2016,2019,27.596439169139465
Jensen1962,"Jensen, Dennis",LIBERAL,665,92,2004,2016,13.834586466165414
Bartlett1949,"Bartlett, Kerry",LIBERAL,630,92,1998,2007,14.603174603174603
Theophanous1946,"Theophanous, Andrew",ALP,239,90,1998,1999,37.65690376569037
Clare1972,"Clare, Jason",ALP,1049,89,2008,2025,8.484270734032412
Gray1958,"Gray, Gary",ALP,585,89,2008,2016,15.213675213675213
Ramsey1956,"Ramsey, Rowan",LIBERAL,1087,89,2008,2025,8.187672493100276
Cobb1950,"Cobb, John",NATIONAL,819,87,2002,2016,10.622710622710622
Buchholz1968,"Buchholz, Scott",LIBERAL,909,86,2010,2025,9.460946094609461
Kelly1964,"Kelly, Jackie",LIBERAL,496,86,1998,2007,17.338709677419356
Dick1972,"Dick, Milton",ALP,633,86,2016,2022,13.58609794628752
Kemp1941,"Kemp, David",LIBERAL,1420,86,1998,2004,6.056338028169014
Ellis1946,"Ellis, Annette",ALP,573,85,1998,2010,14.834205933682373
Barresi1955,"Barresi, Phil",LIBERAL,530,83,1998,2007,15.660377358490566
Gambaro1958,"Gambaro, Teresa",LIBERAL,971,83,1998,2016,8.54788877445932
Thompson1988,"Thompson, Phillip",LIBERAL,419,81,2019,2025,19.331742243436754
Hutchinson1965,"Hutchinson, Eric",LIBERAL,397,80,2013,2016,20.151133501259444
Swanson1970,"Swanson, Meryl",ALP,584,80,2016,2025,13.698630136986301
vanManen1965,"van Manen, Bert",LIBERAL,1107,80,2010,2025,7.226738934056007
Griggs1969,"Griggs, Natasha",CLP,618,78,2010,2016,12.62135922330097
Bell1968,"Bell, Angie",LIBERAL,534,78,2019,2025,14.606741573033707
Jenkins1952,"Jenkins, Harry (Jr)",ALP,757,77,1998,2013,10.171730515191545
Byrne1962,"Byrne, Anthony",ALP,737,77,2000,2022,10.447761194029852
Kelly1954,"Kelly, De-Anne",NATIONAL,917,76,1998,2007,8.287895310796074
Vamvakinou1959,"Vamvakinou, Maria",ALP,882,75,2002,2025,8.503401360544217
Gibbons1949,"Gibbons, Steve",ALP,514,73,1998,2013,14.202334630350194
Hull1954,"Hull, Kay",NATIONAL,612,73,1998,2010,11.928104575163399
Hayes1955,"Hayes, Chris",ALP,1448,72,2005,2022,4.972375690607735
Whiteley1960,"Whiteley, Brett",LIBERAL,293,69,2013,2016,23.549488054607508
Andren1946,"Andren, Peter",IND,783,68,1998,2007,8.684546615581098
Oakeshott1969,"Oakeshott, Rob",IND,720,67,2008,2013,9.305555555555555
Wilson1972,"Wilson, Josh",ALP,579,63,2016,2025,10.880829015544041
Burns1987,"Burns, Josh",ALP,611,63,2019,2025,10.310965630114566
Khalil1973,"Khalil, Peter",ALP,582,63,2016,2025,10.824742268041238
Coulton1958,"Coulton, Mark",NATIONAL,796,63,2008,2025,7.914572864321608
Johnson1970,"Johnson, Michael",LIBERAL,557,62,2002,2010,11.131059245960502
Price1963,"Price, Melissa",LIBERAL,718,62,2013,2025,8.635097493036211
McGowan1953,"McGowan, Cathy",IND,717,61,2013,2019,8.507670850767084
Pitt1969,"Pitt, Keith",NATIONAL,780,60,2013,2024,7.6923076923076925
Hollis1938,"Hollis, Colin",ALP,281,60,1998,2001,21.352313167259787
Steggall1974,"Steggall, Zali",IND,673,59,2019,2025,8.766716196136702
Hawker1949,"Hawker, David",LIBERAL,410,58,1998,2010,14.146341463414634
Saffin1954,"Saffin, Janelle",ALP,587,57,2008,2013,9.710391822827939
Georgiou1947,"Georgiou, Petro",LIBERAL,354,56,1998,2010,15.819209039548022
Irons1958,"Irons, Steve",LIBERAL,1050,56,2008,2022,5.333333333333333
Gallus1943,"Gallus, Chris",LIBERAL,286,56,1998,2004,19.58041958041958
Lyons1953,"Lyons, Geoff",ALP,329,55,2010,2013,16.717325227963524
Causley1940,"Causley, Ian",NATIONAL,496,53,1998,2007,10.685483870967742
Draper1959,"Draper, Trish",LIBERAL,416,53,1998,2007,12.740384615384615
Lawrence1948,"Lawrence, Carmen",ALP,337,53,1998,2007,15.72700296735905
Quick1941,"Quick, Harry",ALP,363,53,1998,2007,14.600550964187327
Coleman1974,"Coleman, David",LIBERAL,798,53,2013,2025,6.641604010025063
Baird1942,"Baird, Bruce",LIBERAL,833,52,1998,2007,6.24249699879952
Feeney1970,"Feeney, David",ALP,216,51,2013,2017,23.61111111111111
Fischer1946,"Fischer, Tim",NATIONAL,353,50,1998,2001,14.164305949008499
Farmer1962,"Farmer, Pat",LIBERAL,255,50,2002,2010,19.607843137254903
Thomson1964,"Thomson, Craig",ALP,367,49,2008,2011,13.35149863760218
Brodtmann1963,"Brodtmann, Gai",ALP,1149,48,2010,2019,4.177545691906006
Vaile1956,"Vaile, Mark",NATIONAL,1452,47,1998,2008,3.236914600550964
Theophanous1946,"Theophanous, Andrew",IND,292,47,2000,2001,16.095890410958905
Zappia1952,"Zappia, Tony",ALP,1382,46,2008,2025,3.3285094066570187
Campbell1939,"Campbell, Graeme",IND,150,45,1998,1998,30.0
Jackson1962,"Jackson, Sharryn",ALP,338,45,2002,2010,13.31360946745562
Combet1958,"Combet, Greg",ALP,903,44,2008,2013,4.872646733111849
Haines1961,"Haines, Helen",IND,599,43,2019,2025,7.178631051752921
Sudmalis1955,"Sudmalis, Ann",LIBERAL,409,42,2013,2019,10.268948655256724
Bidgood1959,"Bidgood, James",ALP,184,42,2008,2010,22.82608695652174
Livermore1969,"Livermore, Kirsten",ALP,586,42,1998,2013,7.167235494880546
May1950,"May, Margaret",LIBERAL,498,42,1998,2010,8.433734939759036
Laundy1971,"Laundy, Craig",LIBERAL,369,41,2013,2019,11.11111111111111
Worth1946,"Worth, Trish",LIBERAL,369,41,1998,2004,11.11111111111111
Young1968,"Young, Terry",LIBERAL,276,41,2019,2025,14.855072463768115
Moylan1944,"Moylan, Judi",LIBERAL,708,40,1998,2013,5.649717514124294
Hammond1975,"Hammond, Tim",ALP,187,40,2016,2018,21.390374331550802
Hale1969,"Hale, Damian",ALP,229,39,2008,2010,17.03056768558952
Murphy1973,"Murphy, Peta",ALP,438,39,2019,2023,8.904109589041095
Stanley1961,"Stanley, Anne",ALP,517,39,2016,2025,7.543520309477756
McBain1982,"McBain, Kristy",ALP,342,39,2020,2025,11.403508771929825
Conaghan1971,"Conaghan, Pat",NATIONAL,472,38,2019,2025,8.05084745762712
Gorman1984,"Gorman, Patrick",ALP,440,38,2018,2025,8.636363636363637
Georganas1959,"Georganas, Steve",ALP,1193,37,2004,2025,3.1014249790444257
Markus1958,"Markus, Louise",LIBERAL,503,37,2004,2016,7.355864811133201
Filing1955,"Filing, Paul",IND,93,36,1998,1998,38.70967741935484
Wilton1955,"Wilton, Greg",ALP,114,36,1998,2000,31.57894736842105
Sullivan1950,"Sullivan, Jon",ALP,192,36,2008,2010,18.75
Broad1975,"Broad, Andrew",NATIONAL,441,35,2013,2019,7.936507936507937
Lieberman1938,"Lieberman, Lou",LIBERAL,206,35,1998,2001,16.990291262135923
Parke1966,"Parke, Melissa",ALP,652,34,2008,2016,5.214723926380368
Hastie1982,"Hastie, Andrew",LIBERAL,528,33,2015,2025,6.25
McNamara1964,"McNamara, Karen",LIBERAL,350,33,2013,2016,9.428571428571429
Brown1933,"Brown, Bob, MP",ALP,79,32,1998,1998,40.50632911392405
Vale1944,"Vale, Danna",LIBERAL,680,32,1998,2010,4.705882352941177
Prentice1953,"Prentice, Jane",LIBERAL,851,31,2010,2019,3.6427732079905994
Grierson1951,"Grierson, Sharon",ALP,579,31,2002,2013,5.354058721934369
McIntosh1977,"McIntosh, Melissa",LIBERAL,443,31,2019,2025,6.997742663656885
Morton1981,"Morton, Ben",LIBERAL,339,31,2016,2022,9.144542772861357
Flint1978,"Flint, Nicolle",LIBERAL,478,31,2016,2022,6.485355648535565
King1952,"King, Peter",LIBERAL,252,31,2002,2004,12.301587301587302
Sharkie1972,"Sharkie, Rebekha",CA,886,30,2018,2025,3.386004514672686
Zimmerman1968,"Zimmerman, Trent",LIBERAL,317,30,2016,2022,9.46372239747634
Fahey1945,"Fahey, John",LIBERAL,459,29,1998,2001,6.318082788671024
Zammit1941,"Zammit, Paul",IND,95,29,1998,1998,30.526315789473685
Morris1940,"Morris, Allan",ALP,210,28,1998,2001,13.333333333333334
Elliot1967,"Elliot, Justine",ALP,886,28,2004,2025,3.160270880361174
Keay1975,"Keay, Justine",ALP,210,27,2016,2019,12.857142857142858
Turnour1966,"Turnour, James",ALP,187,27,2008,2010,14.438502673796792
Wyatt1952,"Wyatt, Ken",LIBERAL,617,27,2010,2022,4.376012965964343
Leeser1976,"Leeser, Julian",LIBERAL,685,27,2016,2025,3.9416058394160585
Nehl1934,"Nehl, Garry",NATIONAL,210,27,1998,2001,12.857142857142858
Pearce1967,"Pearce, Gavin",LIBERAL,333,27,2019,2025,8.108108108108109
DAth1970,"D'Ath, Yvette",ALP,355,26,2008,2013,7.323943661971831
