uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Collins1971,"Collins, Julie",ALP,703,148,2008,2025,21.05263157894737
Kelly1963,"Kelly, Craig",LIB,895,146,2010,2022,16.312849162011172
Ciobo1974,"Ciobo, Steve",LIB,791,144,2002,2019,18.20480404551201
Bishop1942,"Bishop, Bronwyn (The SPEAKER)",LIB,686,144,2013,2015,20.99125364431487
Katter1945,"Katter, Bob (Jr)",KAP,718,143,2011,2025,19.91643454038997
Lindsay1944,"Lindsay, Peter",LIB,678,142,1998,2010,20.94395280235988
Anthony1961,"Anthony, Larry (Lawrence)",NP,394,141,1998,2004,35.786802030456855
Robert1970,"Robert, Stuart",LIB,1088,141,2008,2024,12.959558823529411
McClelland1958,"McClelland, Robert",ALP,840,140,1998,2013,16.666666666666668
Windsor1950,"Windsor, Tony",IND,523,133,2002,2013,25.430210325047803
Briggs1977,"Briggs, Jamie",LIB,590,132,2008,2016,22.372881355932204
Hill1973,"Hill, Julian",ALP,610,130,2016,2025,21.311475409836067
Wooldridge1956,"Wooldridge, Michael",LIB,402,127,1998,2001,31.592039800995025
Wallace1968,"Wallace, Andrew",LIB,727,127,2016,2025,17.46905089408528
Lee1957,"Lee, Michael",ALP,393,126,1998,2001,32.06106870229008
Hartsuyker1959,"Hartsuyker, Luke",NP,805,123,2002,2019,15.279503105590063
Clare1972,"Clare, Jason",ALP,731,120,2008,2025,16.415868673050614
Conroy1979,"Conroy, Pat",ALP,1726,120,2013,2025,6.952491309385863
Katter1945,"Katter, Bob (Jr)",IND,371,120,2001,2011,32.34501347708895
Baldwin1955,"Baldwin, Bob",LIB,812,118,1998,2016,14.532019704433498
Combet1958,"Combet, Greg",ALP,557,117,2008,2013,21.005385996409334
Rishworth1978,"Rishworth, Amanda",ALP,952,117,2008,2025,12.289915966386555
Marles1967,"Marles, Richard",ALP,814,116,2008,2025,14.25061425061425
Hawke1977,"Hawke, Alex",LIB,695,115,2008,2025,16.546762589928058
Owens1958,"Owens, Julie",ALP,881,113,2004,2022,12.82633371169126
Robb1951,"Robb, Andrew",LIB,470,110,2004,2016,23.404255319148938
Irons1958,"Irons, Steve",LIB,776,110,2008,2022,14.175257731958762
Wilson1980,"Wilson, Tim",LIB,641,109,2016,2025,17.004680187207487
Price1945,"Price, Roger",ALP,677,108,1998,2010,15.952732644017726
OBrien1974,"O'Brien, Ted",LIB,510,108,2016,2025,21.176470588235293
Howarth1972,"Howarth, Luke",LIB,657,107,2013,2025,16.28614916286149
Sidebottom1951,"Sidebottom, Sid",ALP,636,106,1998,2013,16.666666666666668
Ferguson1952,"Ferguson, Laurie",ALP,606,105,1998,2016,17.326732673267326
Littleproud1976,"Littleproud, David",NAT,553,104,2016,2025,18.806509945750452
MitchellRobert1967,"Mitchell, Rob",ALP,539,102,2010,2025,18.923933209647494
Sukkar1981,"Sukkar, Michael",LIB,784,102,2013,2025,13.010204081632653
Cadman1937,"Cadman, Alan",LIB,384,102,1998,2007,26.5625
Bevis1955,"Bevis, Arch",ALP,444,102,1998,2010,22.972972972972972
Neumann1961,"Neumann, Shayne",ALP,1390,100,2008,2025,7.194244604316546
Bradbury1976,"Bradbury, David",ALP,514,100,2008,2013,19.455252918287936
Broadbent1950,"Broadbent, Russell",LIB,749,98,1998,2025,13.08411214953271
Scott1943,"Scott, Bruce",NP,599,98,1998,2016,16.360601001669448
Smith1967,"Smith, Tony (Anthony David)",LIB,629,97,2002,2022,15.421303656597773
Hayes1955,"Hayes, Chris",ALP,1168,95,2005,2022,8.133561643835616
Buchholz1968,"Buchholz, Scott",LIB,603,95,2010,2025,15.754560530679933
Kelly1954,"Kelly, De-Anne",NP,360,95,1998,2007,26.38888888888889
vanManen1965,"van Manen, Bert",LIB,904,94,2010,2025,10.398230088495575
Baird1942,"Baird, Bruce",LIB,578,92,1998,2007,15.916955017301039
Falinski1970,"Falinski, Jason",LIB,430,91,2016,2022,21.162790697674417
Tudge1971,"Tudge, Alan",LIB,585,90,2010,2023,15.384615384615385
Randall1953,"Randall, Don",LIB,564,90,1998,2015,15.957446808510639
Butler1977,"Butler, Terri",ALP,540,88,2014,2022,16.296296296296298
Hogan1963,"Hogan, Kevin",NP,692,87,2013,2025,12.572254335260116
Wilkie1961,"Wilkie, Andrew",IND,733,87,2010,2025,11.869031377899045
Hatton1951,"Hatton, Michael",ALP,330,84,1998,2007,25.454545454545453
ONeil1980,"O'Neil, Clare",ALP,479,84,2013,2025,17.53653444676409
Laming1966,"Laming, Andrew",LIB,730,83,2004,2022,11.36986301369863
Burney1957,"Burney, Linda",ALP,385,83,2016,2025,21.558441558441558
Griffin1960,"Griffin, Alan",ALP,496,83,1998,2016,16.733870967741936
Cox1954,"Cox, David",ALP,278,82,1998,2004,29.496402877697843
Pasin1977,"Pasin, Tony",LIB,619,81,2013,2025,13.08562197092084
Christensen1978,"Christensen, George",NP,666,81,2010,2022,12.162162162162161
Bird1962,"Bird, Sharon",ALP,569,81,2004,2022,14.235500878734623
ODwyer1977,"O'Dwyer, Kelly",LIB,716,79,2010,2019,11.033519553072626
Ellis1977,"Ellis, Kate",ALP,422,79,2004,2019,18.72037914691943
Andrews1960,"Andrews, Karen",LIB,669,79,2010,2024,11.80866965620329
Southcott1967,"Southcott, Andrew",LIB,804,78,1998,2016,9.701492537313433
Ramsey1956,"Ramsey, Rowan",LIB,861,77,2008,2025,8.94308943089431
Danby1955,"Danby, Michael",ALP,909,76,1998,2019,8.36083608360836
Williams1942,"Williams, Daryl",LIB,587,75,1998,2004,12.776831345826235
Burke1966,"Burke, Anna (The DEPUTY SPEAKER)",ALP,327,72,2008,2016,22.01834862385321
Marino1954,"Marino, Nola",LIB,943,72,2008,2025,7.635206786850477
Melham1954,"Melham, Daryl",ALP,539,72,1998,2013,13.358070500927644
Stone1951,"Stone, Sharman",LIB,831,72,1998,2016,8.664259927797834
Zappia1952,"Zappia, Tony",ALP,1234,71,2008,2025,5.753646677471637
Fahey1945,"Fahey, John",LIB,186,70,1998,2001,37.634408602150536
Coulton1958,"Coulton, Mark",NP,624,70,2008,2025,11.217948717948717
Pitt1969,"Pitt, Keith",NP,595,70,2013,2024,11.764705882352942
Cobb1950,"Cobb, John",NP,516,69,2002,2016,13.372093023255815
Burke1966,"Burke, Anna (The SPEAKER)",ALP,290,69,2012,2013,23.79310344827586
Ryan1961,"Ryan, Joanne",ALP,947,69,2013,2025,7.286166842661035
Kerr1952,"Kerr, Duncan",ALP,388,69,1998,2010,17.783505154639176
Price1963,"Price, Melissa",LIB,571,68,2013,2025,11.908931698774081
Oakeshott1969,"Oakeshott, Rob",IND,461,67,2008,2013,14.533622559652928
King1973,"King, Madeleine",ALP,371,65,2016,2025,17.52021563342318
MitchellBrian1967,"Mitchell, Brian",ALP,542,65,2016,2025,11.992619926199263
Lloyd1954,"Lloyd, Jim",LIB,410,65,1998,2007,15.853658536585366
Burns1987,"Burns, Josh",ALP,418,65,2019,2025,15.55023923444976
Nairn1951,"Nairn, Gary",LIB,433,64,1998,2007,14.780600461893764
Henderson1964,"Henderson, Sarah",LIB,424,64,2013,2019,15.09433962264151
