year,speaker_gender,n,interjection_rate,avg_interjections,interjection_rate_pct
1998,female,661,0.24508320726172467,0.7095310136157338,24.508320726172467
1998,male,4827,0.3403770457841309,1.057799875699192,34.03770457841309
1999,female,1182,0.1598984771573604,0.32148900169204736,15.989847715736042
1999,male,6173,0.2600032399157622,0.680868297424267,26.00032399157622
2000,female,1263,0.15676959619952494,0.3594615993665875,15.676959619952493
2000,male,6210,0.2687600644122383,0.7170692431561997,26.876006441223833
2001,female,890,0.16179775280898875,0.3685393258426966,16.179775280898877
2001,male,4544,0.29995598591549294,0.8375880281690141,29.995598591549292
2002,female,1274,0.14835164835164835,0.3328100470957614,14.835164835164836
2002,male,5676,0.26250880902043694,0.7459478505990134,26.250880902043694
2003,female,1418,0.16290550070521861,0.37940761636107195,16.29055007052186
2003,male,5786,0.26892499135845144,0.6738679571379191,26.892499135845142
2004,female,1009,0.17244796828543113,0.354806739345887,17.244796828543112
2004,male,4805,0.23413111342351717,0.5650364203954215,23.413111342351716
2005,female,1430,0.15244755244755245,0.2545454545454545,15.244755244755245
2005,male,5778,0.23433714087919696,0.5145379023883697,23.433714087919697
2006,female,1414,0.1661951909476662,0.35007072135785006,16.61951909476662
2006,male,6225,0.23710843373493976,0.5648192771084337,23.710843373493976
2007,female,1038,0.16184971098265896,0.3227360308285164,16.184971098265898
2007,male,4541,0.23188724950451442,0.5333626954415327,23.18872495045144
2008,female,1791,0.19653824678950307,0.5237297599106644,19.653824678950308
2008,male,5930,0.2278246205733558,0.5741989881956155,22.782462057335582
2009,female,1863,0.17337627482555018,0.4600107353730542,17.337627482555018
2009,male,5841,0.2145180619756891,0.5514466700907379,21.45180619756891
2010,female,1669,0.19892150988615936,0.45656081485919714,19.892150988615935
2010,male,4790,0.18684759916492694,0.4315240083507307,18.684759916492695
2011,female,2620,0.1946564885496183,0.4935114503816794,19.46564885496183
2011,male,7205,0.178764746703678,0.39153365718251215,17.876474670367802
2012,female,2953,0.1947172367084321,0.4341347781916695,19.47172367084321
2012,male,7695,0.16881091617933724,0.36387264457439894,16.881091617933723
2013,female,2037,0.1796759941089838,0.35297005400098186,17.96759941089838
2013,male,5394,0.2039302929180571,0.4682981090100111,20.39302929180571
2014,female,3378,0.13587921847246892,0.27057430432208407,13.587921847246893
2014,male,8504,0.22836312323612418,0.6254703668861712,22.836312323612418
2015,female,3589,0.11089439955419336,0.21454444134856507,11.089439955419337
2015,male,9484,0.18947701391817798,0.4762758329818642,18.947701391817798
2016,female,2133,0.11720581340834506,0.23863103609939054,11.720581340834507
2016,male,6277,0.19898040465190378,0.4714035367213637,19.898040465190377
2017,female,2739,0.11500547645125958,0.19605695509309967,11.500547645125959
2017,male,8018,0.20803192816163632,0.42666500374158145,20.803192816163634
2018,female,2913,0.09131479574322005,0.14898729831788535,9.131479574322004
2018,male,8019,0.17346302531487717,0.322234692605063,17.346302531487716
2019,female,1964,0.08503054989816701,0.1364562118126273,8.5030549898167
2019,male,5481,0.1713191023535851,0.35887611749680715,17.13191023535851
2020,female,2743,0.07983959168793292,0.12067079839591688,7.983959168793292
2020,male,6415,0.15214341387373342,0.28807482462977396,15.214341387373342
2021,female,3027,0.07135777998017839,0.10802775024777007,7.135777998017839
2021,male,7225,0.14920415224913494,0.2917647058823529,14.920415224913494
2022,female,2182,0.09670027497708525,0.1860678276810266,9.670027497708524
2022,male,4249,0.18239585784890563,0.40127088726759236,18.239585784890565
2023,female,4207,0.11813643926788686,0.253387211789874,11.813643926788686
2023,male,6605,0.2052990158970477,0.4752460257380772,20.529901589704767
2024,female,3878,0.09334708612686952,0.1704486848891181,9.334708612686953
2024,male,6269,0.21662147072898388,0.4804594034136226,21.66214707289839
2025,female,896,0.10825892857142858,0.1640625,10.825892857142858
2025,male,1486,0.18236877523553163,0.3506056527590848,18.23687752355316
